,threshold,k_fold,accuracy,sensitivity,specificity,positive_likelihood,negative_likelihood,true_positive_rate,false_positive_rate,false_negative_rate,positive_predictive_value,negative_predictive_value,precision,recall,f1,positive_rate
17,0.17,0.0,0.7180851063829787,0.9736842105263158,0.5446428571428571,2.13828689370485,0.04831751509922342,0.9736842105263158,0.4553571428571429,0.031746031746031744,0.592,0.9682539682539683,0.592,0.9736842105263158,0.736318407960199,0.6648936170212766
18,0.18,0.0,0.7340425531914894,0.9736842105263158,0.5714285714285714,2.2719298245614032,0.04605263157894732,0.9736842105263158,0.4285714285714286,0.030303030303030304,0.6065573770491803,0.9696969696969697,0.6065573770491803,0.9736842105263158,0.7474747474747474,0.648936170212766
19,0.19,0.0,0.7340425531914894,0.9605263157894737,0.5803571428571429,2.288913773796193,0.06801619433198382,0.9605263157894737,0.4196428571428571,0.04411764705882353,0.6083333333333333,0.9558823529411765,0.6083333333333333,0.9605263157894737,0.7448979591836735,0.6382978723404256
20,0.2,0.0,0.75,0.9605263157894737,0.6071428571428571,2.4449760765550237,0.06501547987616102,0.9605263157894737,0.3928571428571429,0.04225352112676056,0.6239316239316239,0.9577464788732394,0.6239316239316239,0.9605263157894737,0.7564766839378239,0.6223404255319149
21,0.21,0.0,0.7553191489361702,0.9605263157894737,0.6160714285714286,2.5018359853121175,0.06407322654462244,0.9605263157894737,0.3839285714285714,0.041666666666666664,0.6293103448275862,0.9583333333333334,0.6293103448275862,0.9605263157894737,0.7604166666666667,0.6170212765957447
22,0.22,0.0,0.7606382978723404,0.9605263157894737,0.625,2.56140350877193,0.06315789473684212,0.9605263157894737,0.375,0.0410958904109589,0.6347826086956522,0.958904109589041,0.6347826086956522,0.9605263157894737,0.7643979057591622,0.6117021276595744
23,0.23,0.0,0.7659574468085106,0.9605263157894737,0.6339285714285714,2.6238767650834403,0.06226834692364717,0.9605263157894737,0.3660714285714286,0.04054054054054054,0.6403508771929824,0.9594594594594594,0.6403508771929824,0.9605263157894737,0.768421052631579,0.6063829787234043
24,0.24,0.0,0.7659574468085106,0.9605263157894737,0.6339285714285714,2.6238767650834403,0.06226834692364717,0.9605263157894737,0.3660714285714286,0.04054054054054054,0.6403508771929824,0.9594594594594594,0.6403508771929824,0.9605263157894737,0.768421052631579,0.6063829787234043
25,0.25,0.0,0.7659574468085106,0.9605263157894737,0.6339285714285714,2.6238767650834403,0.06226834692364717,0.9605263157894737,0.3660714285714286,0.04054054054054054,0.6403508771929824,0.9594594594594594,0.6403508771929824,0.9605263157894737,0.768421052631579,0.6063829787234043
26,0.26,0.0,0.7712765957446809,0.9605263157894737,0.6428571428571429,2.6894736842105265,0.061403508771929835,0.9605263157894737,0.3571428571428571,0.04,0.6460176991150443,0.96,0.6460176991150443,0.9605263157894737,0.7724867724867724,0.601063829787234
27,0.27,0.0,0.7925531914893617,0.9605263157894737,0.6785714285714286,2.9883040935672516,0.058171745152354584,0.9605263157894737,0.3214285714285714,0.0379746835443038,0.6697247706422018,0.9620253164556962,0.6697247706422018,0.9605263157894737,0.7891891891891892,0.5797872340425532
28,0.28,0.0,0.7925531914893617,0.9605263157894737,0.6785714285714286,2.9883040935672516,0.058171745152354584,0.9605263157894737,0.3214285714285714,0.0379746835443038,0.6697247706422018,0.9620253164556962,0.6697247706422018,0.9605263157894737,0.7891891891891892,0.5797872340425532
29,0.29,0.0,0.7978723404255319,0.9605263157894737,0.6875,3.0736842105263156,0.05741626794258375,0.9605263157894737,0.3125,0.0375,0.6759259259259259,0.9625,0.6759259259259259,0.9605263157894737,0.7934782608695653,0.574468085106383
30,0.3,0.0,0.7978723404255319,0.9605263157894737,0.6875,3.0736842105263156,0.05741626794258375,0.9605263157894737,0.3125,0.0375,0.6759259259259259,0.9625,0.6759259259259259,0.9605263157894737,0.7934782608695653,0.574468085106383
31,0.31,0.0,0.8031914893617021,0.9605263157894737,0.6964285714285714,3.1640866873065012,0.05668016194331986,0.9605263157894737,0.3035714285714286,0.037037037037037035,0.6822429906542056,0.9629629629629629,0.6822429906542056,0.9605263157894737,0.7978142076502732,0.5691489361702128
32,0.32,0.0,0.8031914893617021,0.9605263157894737,0.6964285714285714,3.1640866873065012,0.05668016194331986,0.9605263157894737,0.3035714285714286,0.037037037037037035,0.6822429906542056,0.9629629629629629,0.6822429906542056,0.9605263157894737,0.7978142076502732,0.5691489361702128
33,0.33,0.0,0.8138297872340425,0.9605263157894737,0.7142857142857143,3.361842105263158,0.055263157894736854,0.9605263157894737,0.2857142857142857,0.03614457831325301,0.6952380952380952,0.963855421686747,0.6952380952380952,0.9605263157894737,0.8066298342541437,0.5585106382978723
34,0.34,0.0,0.8191489361702128,0.9605263157894737,0.7232142857142857,3.4702886247877758,0.05458089668615986,0.9605263157894737,0.2767857142857143,0.03571428571428571,0.7019230769230769,0.9642857142857143,0.7019230769230769,0.9605263157894737,0.811111111111111,0.5531914893617021
35,0.35000000000000003,0.0,0.824468085106383,0.9605263157894737,0.7321428571428571,3.585964912280701,0.05391527599486523,0.9605263157894737,0.2678571428571429,0.03529411764705882,0.7087378640776699,0.9647058823529412,0.7087378640776699,0.9605263157894737,0.8156424581005587,0.5478723404255319
36,0.36,0.0,0.8297872340425532,0.9605263157894737,0.7410714285714286,3.70961887477314,0.05326569435637287,0.9605263157894737,0.2589285714285714,0.03488372093023256,0.7156862745098039,0.9651162790697675,0.7156862745098039,0.9605263157894737,0.8202247191011237,0.5425531914893617
37,0.37,0.0,0.8351063829787234,0.9605263157894737,0.75,3.8421052631578947,0.05263157894736844,0.9605263157894737,0.25,0.034482758620689655,0.7227722772277227,0.9655172413793104,0.7227722772277227,0.9605263157894737,0.8248587570621468,0.5372340425531915
38,0.38,0.0,0.8404255319148937,0.9605263157894737,0.7589285714285714,3.984405458089668,0.05201238390092881,0.9605263157894737,0.2410714285714286,0.03409090909090909,0.73,0.9659090909090909,0.73,0.9605263157894737,0.8295454545454545,0.5319148936170213
39,0.39,0.0,0.8457446808510638,0.9605263157894737,0.7678571428571429,4.137651821862349,0.0514075887392901,0.9605263157894737,0.2321428571428571,0.033707865168539325,0.7373737373737373,0.9662921348314607,0.7373737373737373,0.9605263157894737,0.8342857142857143,0.526595744680851
